particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
3-NN,96.2734,96.1681,0.0000,0.0034,68.8333,74.2222,0.0000,0.0047,63.4230,62.7502,0.0000,0.0189
SFS,97.2585,94.3029,84.3333,0.2043,76.2778,70.7222,90.1111,0.9234,78.5975,69.2886,97.3381,2.5154
BMB,98.3480,95.9571,47.3333,3.2593,77.1111,74.5556,52.1111,12.2184,73.3210,63.7274,50.7554,130.9448
GRASP,98.5939,95.1826,75.3333,6.9703,80.1111,72.6667,83.7778,29.4403,83.3140,71.4025,93.9209,53.2635
ILS,98.4185,95.7464,50.3333,2.7908,76.9444,74.0000,50.3333,11.2973,75.7544,63.6813,51.6906,110.6847
