particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,97.8873,95.4386,83.3333,0.2466,68.8889,71.1111,92.2222,0.7259,76.5625,66.4948,97.4820,2.3164
Partición 1-2,97.5439,93.3099,80.0000,0.2503,78.3333,68.8889,90.0000,0.9295,84.0206,71.8750,97.1223,2.6907
Partición 2-1,97.8873,95.7895,80.0000,0.2503,80.5556,71.1111,88.8889,1.0394,78.1250,61.3402,96.0432,3.8524
Partición 2-2,97.8947,93.3099,80.0000,0.2507,76.6667,73.8889,88.8889,1.0389,82.9897,70.8333,96.7626,3.0664
Partición 3-1,97.5352,95.7895,80.0000,0.2500,75.0000,71.6667,90.0000,0.9323,76.5625,61.8557,96.7626,3.0453
Partición 3-2,97.1930,90.8451,86.6667,0.1782,81.1111,72.7778,90.0000,0.9320,71.6495,71.3542,98.9209,1.0239
Partición 4-1,97.5352,95.7895,86.6667,0.1734,76.1111,71.6667,93.3333,0.6216,73.4375,72.1649,98.5612,1.3109
Partición 4-2,95.4386,92.6056,93.3333,0.0971,72.2222,65.5556,92.2222,0.7201,74.7423,70.8333,98.9209,1.0285
Partición 5-1,95.7746,96.8421,86.6667,0.1731,80.0000,72.7778,87.7778,1.1445,84.8958,71.1340,96.4029,3.3950
Partición 5-2,97.8947,93.3099,86.6667,0.1737,73.8889,67.7778,87.7778,1.1493,82.9897,75.0000,96.4029,3.4243
Medias,97.2585,94.3029,84.3333,0.2043,76.2778,70.7222,90.1111,0.9234,78.5975,69.2886,97.3381,2.5154
