particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
Partición 1-1,97.8873,95.4386,83.3333,0.2377,80.0000,73.8889,91.1111,0.8672,83.3333,71.1340,97.4820,2.4778
Partición 1-2,97.5439,93.3099,80.0000,0.2718,74.4444,67.7778,88.8889,1.0971,74.7423,63.5417,97.1223,2.7568
Partición 2-1,96.8310,92.6316,80.0000,0.2733,76.6667,73.8889,91.1111,0.8691,71.3542,56.7010,98.9209,1.0899
Partición 2-2,96.8421,93.6620,93.3333,0.1055,78.3333,68.8889,90.0000,0.9758,79.3814,69.2708,98.2014,1.7464
Partición 3-1,97.1831,93.6842,90.0000,0.1429,73.8889,71.1111,90.0000,0.9752,79.6875,67.0103,97.1223,2.7988
Partición 3-2,97.8947,95.4225,86.6667,0.1835,78.3333,70.5556,92.2222,0.7755,83.5052,68.7500,96.7626,3.2249
Partición 4-1,97.8873,96.1404,80.0000,0.2635,78.3333,77.7778,91.1111,0.8730,76.5625,74.7423,98.2014,1.7183
Partición 4-2,96.8421,92.2535,90.0000,0.1419,75.0000,72.2222,91.1111,0.8684,73.7113,70.3125,98.9209,1.0876
Partición 5-1,97.1831,95.0877,86.6667,0.1829,76.6667,69.4444,85.5556,1.4422,79.6875,70.1031,97.8417,2.0614
Partición 5-2,98.2456,95.0704,86.6667,0.1833,75.5556,74.4444,91.1111,0.8776,73.7113,71.3542,98.2014,1.7179
Medias,97.4340,94.2701,85.6667,0.1986,76.7222,72.0000,90.2222,0.9621,77.5677,68.2920,97.8777,2.0680
