particiones, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12
3-NN,96.5911,95.8882,0.0000,0.0068,70.4444,72.1667,0.0000,0.0104,63.5245,64.5033,0.0000,0.0417
SFS,95.9928,93.2858,90.0000,0.1829,74.0556,66.7222,90.4444,1.3403,74.5565,68.8622,98.2374,2.4772
BL,97.2938,95.3592,46.3333,0.2237,73.0000,69.1111,51.1111,0.6886,70.6191,65.3308,49.6403,10.4826
ES,97.7506,96.0986,51.6667,1.0371,76.1111,69.1667,52.4444,4.5003,75.0220,64.9672,53.5971,36.8901
BT básica,98.8757,95.6060,45.6667,55.4689,80.2222,70.0000,56.6667,74.3600,75.2379,65.4376,52.5180,201.0528
